lexeme,sub_trait,subtrait_id
kasih_liat,o_actions,48
foto,o_actions,48
baru_punya,o_actions,48
kreator,o_actions,48
pesat,o_actions,48
goyang,o_actions,48
postingan,o_actions,48
promo,o_actions,48
mau_bilang,o_actions,48
perebutan,o_actions,48
tawar_menawar,o_actions,48
percepatan,o_actions,48
partisipasi,o_actions,48
melangkah,o_actions,48
rintangan,o_actions,48
pemberantasan,o_actions,48
nyobain,o_actions,48
dibetulin,o_actions,48
sempet_ikutan,o_actions,48
patungan,o_actions,48
belum_tidur,o_actions,48
mencoba,o_actions,48
dateng_dulu,o_actions,48
beliin,o_actions,48
memasuki,o_actions,48
dirilis,o_actions,48
nambahin,o_actions,48
kabar_kabarin,o_actions,48
gue_cek,o_actions,48
bikin_konten,o_actions,48
petualangan,o_actions,48
ambil_keputusan,o_actions,48
nurunin,o_actions,48
nyoba,o_actions,48
berurusan,o_actions,48
ngelakuin,o_actions,48
paduin,o_actions,48
adaptasi,o_actions,48
beli_lagi,o_actions,48
kritisi,o_actions,48
deklarasi,o_actions,48
dibaca,o_actions,48
memenuhi,o_actions,48
sering,o_actions,48
terbit,o_actions,48
revolusi,o_actions,48
peran,o_actions,48
dukung,o_actions,48
melampaui,o_actions,48
ikutan_kontribusi,o_actions,48
ikutan,o_actions,48
konvoi,o_actions,48
ganti,o_actions,48
bawa_data,o_actions,48
msh,o_actions,48
diganti,o_actions,48
membantah,o_actions,48
ngikutin,o_actions,48
alih,o_actions,48
ramaikan,o_actions,48
urusin,o_actions,48
mendarat,o_actions,48
lanjut,o_actions,48
lwt,o_actions,48
gampang,o_actions,48
pergerakan,o_actions,48
reformasi,o_actions,48
perjuangkan,o_actions,48
mencapai_cita-cita,o_actions,48
menuju,o_actions,48
akan_digunakan,o_actions,48
perubahan,o_actions,48
kontrol,o_actions,48
langkah_ke_depan,o_actions,48
konsolidasi,o_actions,48
mari_kita,o_actions,48
yang_ingin,o_actions,48
dielaborasi,o_actions,48
bergerak,o_actions,48
bikin,o_actions,48
tanpa_henti,o_actions,48
bilang,o_actions,48
intervensi,o_actions,48
menjaga,o_actions,48
penangkapan,o_actions,48
jaga,o_actions,48
tindak_lanjuti,o_actions,48
saya_siapkan,o_actions,48
jalankan,o_actions,48
hujan2an,o_actions,48
penuhi_undangan,o_actions,48
penuntasan,o_actions,48
menuntaskan,o_actions,48
aksi,o_actions,48
menciptakan,o_actions,48
selami,o_actions,48
bereskan,o_actions,48
pake_motor,o_actions,48
ngejar,o_actions,48
turut,o_actions,48
mengambil_keputusan,o_actions,48
mengklarifikasi,o_actions,48
merespon,o_actions,48
jelasin,o_actions,48
tampil,o_actions,48
wujudkan,o_actions,48
contohkan,o_actions,48
nunjuk2,o_actions,48
mendukung,o_actions,48
jadikan,o_actions,48
ngerjain,o_actions,48
upayakan,o_actions,48
tanyakan,o_actions,48
laksanakan,o_actions,48
kami_bawa,o_actions,48
penyelesaian,o_actions,48
mengubah,o_actions,48
beda,o_actions,48
beda_pandangan,o_actions,48
mulai,o_actions,48
penjelasan,o_actions,48
terima,o_actions,48
kembalikan,o_actions,48
melihat_kondisi,o_actions,48
kita_bersama_memberantas,o_actions,48
memberantas,o_actions,48
mencari_hubungannya,o_actions,48
pelabelan,o_actions,48
membuktikan,o_actions,48
membebankan,o_actions,48
swasembada,o_actions,48
memiliki,o_actions,48
menghemat,o_actions,48
menggalang_kekuatan,o_actions,48
nunjuk_nunjuk,o_actions,48
saya_cari,o_actions,48
siap_hadir,o_actions,48
blusukan,o_actions,48
milih,o_actions,48
benahi,o_actions,48
berkolaborasi,o_actions,48
kasih_semangat,o_actions,48
menjaga_kondisi,o_actions,48
berantas,o_actions,48
penghancuran,o_actions,48
menelusuri_fakta,o_actions,48
ngajarin,o_actions,48
nyelesain,o_actions,48
membangun,o_actions,48
nekat,o_actions,48
menyusul,o_actions,48
berjuang,o_actions,48
berdaulat,o_actions,48
tetap_berdiri,o_actions,48
masih_berdiri,o_actions,48
ayo,o_actions,48
jalani,o_actions,48
meluncur,o_actions,48
mdihitung,o_actions,48
siap_bela,o_actions,48
kirimkan,o_actions,48
kawal,o_actions,48
perintah,o_actions,48
main,o_actions,48
sama_sama_liat,o_actions,48
bantu_liatin,o_actions,48
fotoin,o_actions,48
kumpulkan,o_actions,48
kumpulin,o_actions,48
jagain,o_actions,48
ketemu,o_actions,48
tingkatkan,o_actions,48
masuk,o_actions,48
akan_hadir,o_actions,48
sepik,o_actions,48
akan_berikan,o_actions,48
jumpa,o_actions,48
saya_lihat,o_actions,48
diproses,o_actions,48
berani,o_actions,48
koordinasi,o_actions,48
ingin_ikut,o_actions,48
berbuat,o_actions,48
berpartisipasi,o_actions,48
siap_sedia,o_actions,48
bicara_dan_berpendapat,o_actions,48
hadapi,o_actions,48
bahas,o_actions,48
jawab,o_actions,48
bantu,o_actions,48
gerak,o_actions,48
nonjok,o_actions,48
menyetarakan,o_actions,48
pendukung,o_actions,48
sampaikan,o_actions,48
dilindungi,o_actions,48
meng_kaji,o_actions,48
keluarin,o_actions,48
cari_tau,o_actions,48
datang,o_actions,48
muncul,o_actions,48
diterima,o_actions,48
dikoreksi,o_actions,48
turun,o_actions,48
jawab_pertanyaan,o_actions,48
diubah,o_actions,48
menjawab,o_actions,48
udh_nyari,o_actions,48
tetep_nongol,o_actions,48
nongol,o_actions,48
sadar,o_actions,48
potong_rambut,o_actions,48
pembuatan,o_actions,48
pipis,o_actions,48
perilaku,o_actions,48
gantian,o_actions,48
dibuka,o_actions,48
ngevote,o_actions,48
ditiupnya,o_actions,48
mematikan,o_actions,48
menutupi,o_actions,48
tarik_napas,o_actions,48
meledak,o_actions,48
sampein,o_actions,48
terkena,o_actions,48
membakar,o_actions,48
jatuhin,o_actions,48
pengamatan,o_actions,48
simak,o_actions,48
bawa,o_actions,48
merem,o_actions,48
didengerin,o_actions,48
beringas,o_actions,48
gelut,o_actions,48
serangan,o_actions,48
main_apa,o_actions,48
sikap,o_actions,48
musibah,o_actions,48
jihad,o_actions,48
perang,o_actions,48
deketin,o_actions,48
inovasi,o_actions,48
pamer,o_actions,48
iseng,o_actions,48
